reward 9,reward 3,reward 5,reward 8,reward 7,reward 6,reward 4,reward 2,StepNum,reward 1,reward 0
1393.4535047188683,1501.5694609886548,1459.192623858056,1403.1999032906913,1424.641230231568,1440.0157761251128,1497.0758810681136,1506.8779757607056,1000,1516.8242408235312,2236.6973350575754
1485.9372711244537,1530.4920649045969,1506.8779757607056,1497.0758810681136,1501.5694609886548,1505.4083097990617,1516.8242408235312,1558.7703362317584,2000,1607.423389474598,2236.6973350575754
1501.5694609886548,1558.7703362317584,1516.8242408235312,1505.4083097990617,1506.8779757607056,1511.530839449552,1530.4920649045969,1568.1046039553023,3000,1607.423389474598,2236.6973350575754
1516.8242408235312,1607.423389474598,1576.2873781687,1530.4920649045969,1558.7703362317584,1568.1046039553023,1606.0748387815916,1616.075057112712,4000,1636.2439031675713,2236.6973350575754
1576.2873781687,1616.075057112712,1606.0748387815916,1587.5132134234989,1593.0972093856649,1604.4989441012572,1607.423389474598,1636.2439031675713,5000,2181.254790893911,2236.6973350575754
1593.0972093856649,1636.2439031675713,1616.075057112712,1604.4989441012572,1606.0748387815916,1607.423389474598,1631.2908655042766,1719.3875412899101,6000,2181.254790893911,2236.6973350575754
1606.0748387815916,1656.1431375112743,1636.2439031675713,1607.423389474598,1616.075057112712,1631.2908655042766,1639.5541332049456,1719.3875412899101,7000,2181.254790893911,2236.6973350575754
1607.423389474598,1656.1431375112743,1636.2439031675713,1616.075057112712,1620.5743004359379,1631.2908655042766,1639.5541332049456,1719.3875412899101,8000,2181.254790893911,2236.6973350575754
1620.5743004359379,1719.3875412899101,1656.1431375112743,1631.2908655042766,1636.2439031675713,1639.5541332049456,1711.744994972347,1958.660609235757,9000,2181.254790893911,2236.6973350575754
1636.2439031675713,1719.3875412899101,1692.1647952396017,1639.5541332049456,1644.7127783888322,1656.1431375112743,1711.744994972347,1958.660609235757,10000,2181.254790893911,2236.6973350575754
1636.2439031675713,1719.3875412899101,1692.1647952396017,1639.5541332049456,1644.7127783888322,1656.1431375112743,1711.744994972347,1958.660609235757,11000,2181.254790893911,2236.6973350575754
1644.7127783888322,1844.6557262233255,1711.744994972347,1647.355024080586,1656.1431375112743,1692.1647952396017,1719.3875412899101,1958.660609235757,12000,2181.254790893911,2236.6973350575754
1647.355024080586,1844.6557262233255,1711.744994972347,1656.1431375112743,1692.1647952396017,1693.3390690497238,1719.3875412899101,1958.660609235757,13000,2181.254790893911,2236.6973350575754
1647.355024080586,1844.6557262233255,1711.744994972347,1656.1431375112743,1692.1647952396017,1693.3390690497238,1719.3875412899101,1958.660609235757,14000,2181.254790893911,2236.6973350575754
1656.1431375112743,1844.6557262233255,1711.744994972347,1692.1647952396017,1693.3390690497238,1693.5165013566852,1719.3875412899101,1958.660609235757,15000,2181.254790893911,2236.6973350575754
1656.5836271229334,1844.6557262233255,1711.744994972347,1692.1647952396017,1693.3390690497238,1693.5165013566852,1719.3875412899101,1958.660609235757,16000,2181.254790893911,2236.6973350575754
1692.1647952396017,1958.660609235757,1719.3875412899101,1693.3390690497238,1693.5165013566852,1711.744994972347,1844.6557262233255,2120.788283668283,17000,2181.254790893911,2236.6973350575754
1692.1647952396017,1958.660609235757,1719.3875412899101,1693.3390690497238,1693.5165013566852,1711.744994972347,1844.6557262233255,2120.788283668283,18000,2181.254790893911,2236.6973350575754
1692.1647952396017,1958.660609235757,1719.3875412899101,1693.3390690497238,1693.5165013566852,1711.744994972347,1844.6557262233255,2120.788283668283,19000,2181.254790893911,2236.6973350575754
1692.1647952396017,1958.660609235757,1719.3875412899101,1693.3390690497238,1693.5165013566852,1711.744994972347,1844.6557262233255,2120.788283668283,20000,2181.254790893911,2236.6973350575754
1692.1647952396017,1958.660609235757,1719.3875412899101,1693.3390690497238,1693.5165013566852,1711.744994972347,1844.6557262233255,2120.788283668283,21000,2181.254790893911,2236.6973350575754
1692.1647952396017,1958.660609235757,1719.3875412899101,1693.3390690497238,1693.5165013566852,1711.744994972347,1844.6557262233255,2120.788283668283,22000,2181.254790893911,2236.6973350575754
1692.1647952396017,1958.660609235757,1719.3875412899101,1693.3390690497238,1693.5165013566852,1711.744994972347,1844.6557262233255,2120.788283668283,23000,2181.254790893911,2236.6973350575754
1692.1647952396017,1958.660609235757,1719.3875412899101,1693.3390690497238,1693.5165013566852,1711.744994972347,1844.6557262233255,2120.788283668283,24000,2181.254790893911,2236.6973350575754
1693.3390690497238,2120.788283668283,1844.6557262233255,1693.5165013566852,1711.744994972347,1719.3875412899101,1958.660609235757,2181.254790893911,25000,2236.6973350575754,2277.1554004017535
1693.5165013566852,2120.788283668283,1844.6557262233255,1711.744994972347,1719.3875412899101,1719.5872654134712,1958.660609235757,2181.254790893911,26000,2236.6973350575754,2277.1554004017535
1711.744994972347,2120.788283668283,1958.660609235757,1719.3875412899101,1719.5872654134712,1844.6557262233255,2062.8153661420433,2181.254790893911,27000,2236.6973350575754,2277.1554004017535
1719.3875412899101,2120.788283668283,1958.660609235757,1719.5872654134712,1773.3340486010727,1844.6557262233255,2062.8153661420433,2181.254790893911,28000,2236.6973350575754,2277.1554004017535
1719.3875412899101,2120.788283668283,1958.660609235757,1719.5872654134712,1773.3340486010727,1844.6557262233255,2062.8153661420433,2181.254790893911,29000,2236.6973350575754,2277.1554004017535
1719.3875412899101,2120.788283668283,1958.660609235757,1719.5872654134712,1773.3340486010727,1844.6557262233255,2062.8153661420433,2181.254790893911,30000,2236.6973350575754,2277.1554004017535
1719.5872654134712,2120.788283668283,1958.660609235757,1773.3340486010727,1844.6557262233255,1894.2759976002405,2062.8153661420433,2181.254790893911,31000,2236.6973350575754,2277.1554004017535
1773.3340486010727,2120.788283668283,1958.660609235757,1844.6557262233255,1862.9089976125065,1894.2759976002405,2062.8153661420433,2181.254790893911,32000,2236.6973350575754,2277.1554004017535
1844.6557262233255,2150.155513692729,2062.8153661420433,1862.9089976125065,1894.2759976002405,1958.660609235757,2120.788283668283,2181.254790893911,33000,2236.6973350575754,2277.1554004017535
1844.6557262233255,2150.155513692729,2062.8153661420433,1862.9089976125065,1894.2759976002405,1958.660609235757,2120.788283668283,2181.254790893911,34000,2236.6973350575754,2277.1554004017535
1844.6557262233255,2150.155513692729,2062.8153661420433,1862.9089976125065,1894.2759976002405,1958.660609235757,2120.788283668283,2181.254790893911,35000,2236.6973350575754,2277.1554004017535
1862.9089976125065,2150.155513692729,2062.8153661420433,1894.2759976002405,1899.575112641808,1958.660609235757,2120.788283668283,2181.254790893911,36000,2236.6973350575754,2277.1554004017535
1894.2759976002405,2150.155513692729,2062.8153661420433,1899.575112641808,1925.1235559291424,1958.660609235757,2120.788283668283,2181.254790893911,37000,2236.6973350575754,2277.1554004017535
1894.2759976002405,2150.155513692729,2062.8153661420433,1899.575112641808,1925.1235559291424,1958.660609235757,2120.788283668283,2181.254790893911,38000,2236.6973350575754,2277.1554004017535
1894.2759976002405,2150.155513692729,2062.8153661420433,1899.575112641808,1925.1235559291424,1958.660609235757,2120.788283668283,2181.254790893911,39000,2236.6973350575754,2277.1554004017535
1894.2759976002405,2150.155513692729,2062.8153661420433,1899.575112641808,1925.1235559291424,1958.660609235757,2120.788283668283,2181.254790893911,40000,2236.6973350575754,2277.1554004017535
1894.2759976002405,2150.155513692729,2062.8153661420433,1899.575112641808,1925.1235559291424,1958.660609235757,2120.788283668283,2181.254790893911,41000,2236.6973350575754,2277.1554004017535
1894.2759976002405,2150.155513692729,2062.8153661420433,1899.575112641808,1925.1235559291424,1958.660609235757,2120.788283668283,2181.254790893911,42000,2236.6973350575754,2277.1554004017535
1899.575112641808,2181.254790893911,2120.788283668283,1925.1235559291424,1958.660609235757,2062.8153661420433,2150.155513692729,2236.6973350575754,43000,2277.1554004017535,2295.635754590675
