reward 1,reward 20,reward 2,reward 6,reward 10,reward 21,reward 7,reward 28,reward 11,reward 3,reward 13,reward 15,reward 14,reward 18,reward 24,reward 5,reward 29,reward 0,reward 8,reward 4,reward 9,reward 23,reward 25,reward 27,reward 26,StepNum,reward 16,reward 22,reward 17,reward 19,reward 12
88.5485185417498,0,67.63864083731458,-99796.04441595322,-99849.59889907006,0,-99832.48298512574,0,0,-99613.86214490568,0,0,0,0,0,-99792.6387903918,0,287.4267288764338,-99834.67791821349,-99729.82572947755,-99843.37991926608,0,0,0,0,1000,0,0,0,0,0
88.5485185417498,-99849.59889907006,78.91678771308554,-99780.20208131803,-99796.47325241518,0,-99792.6387903918,0,-99802.6053142912,67.63864083731458,-99818.13540951838,-99820.38866078189,-99819.5434513976,-99834.67791821349,0,-99729.82572947755,0,287.4267288764338,-99793.35191966954,-99613.86214490568,-99796.04441595322,0,0,0,0,2000,-99821.62364758409,0,-99832.48298512574,-99843.37991926608,-99815.78337294469
88.5485185417498,-99818.13540951838,78.91678771308554,-99729.82572947755,-99789.06107382309,-99819.5434513976,-99735.56710212627,-99836.55259403658,-99792.6387903918,75.11175041097556,-99796.04441595322,-99796.47325241518,-99796.42212484617,-99815.06572027903,-99825.99536177468,-99613.86214490568,-99843.37991926608,287.4267288764338,-99776.36051773412,67.63864083731458,-99780.20208131803,-99821.62364758409,-99832.48298512574,-99834.67791821349,-99834.31368797513,3000,-99797.63290005962,-99820.38866078189,-99802.6053142912,-99815.78337294469,-99793.35191966954
88.5485185417498,-99797.63290005962,78.91678771308554,-99613.86214490568,-99752.37747863666,-99801.01383848266,-99729.82572947755,-99819.5434513976,-99774.0096913731,77.48365190721903,-99780.20208131803,-99792.6387903918,-99789.06107382309,-99796.42212484617,-99815.78337294469,67.63864083731458,-99820.38866078189,287.4267288764338,-99735.56710212627,75.11175041097556,-99741.77094794791,-99815.06572027903,-99817.72725492332,-99818.3119856015,-99818.13540951838,4000,-99793.35191966954,-99802.6053142912,-99796.04441595322,-99796.47325241518,-99776.36051773412
112.64326466214072,-99796.04441595322,88.5485185417498,67.63864083731458,-99741.77094794791,-99796.42212484617,-99613.86214490568,-99817.72725492332,-99752.37747863666,78.91678771308554,-99774.61635192027,-99780.20208131803,-99776.36051773412,-99792.6387903918,-99801.01383848266,75.11175041097556,-99818.13540951838,287.4267288764338,-99729.82572947755,77.48365190721903,-99735.56710212627,-99797.63290005962,-99802.6053142912,-99815.78337294469,-99815.06572027903,5000,-99784.9285896325,-99796.47325241518,-99789.06107382309,-99793.35191966954,-99774.0096913731
112.64326466214072,-99774.0096913731,104.23321142805366,78.09776657021501,-99562.56501220338,-99774.61635192027,77.48365190721903,-99796.04441595322,-99613.86214490568,97.7457668600434,-99729.82572947755,-99741.77094794791,-99735.56710212627,-99755.44478300083,-99784.9285896325,78.91678771308554,-99796.42212484617,287.4267288764338,75.11175041097556,88.5485185417498,67.63864083731458,-99780.20208131803,-99789.06107382309,-99793.35191966954,-99792.6387903918,6000,-99752.37747863666,-99776.36051773412,-99755.27719021749,-99765.79907330869,-99721.53221087689
112.64326466214072,-99755.27719021749,104.23321142805366,86.79025608328794,75.11175041097556,-99755.44478300083,78.91678771308554,-99780.20208131803,67.63864083731458,97.7457668600434,-99613.86214490568,-99729.82572947755,-99721.53221087689,-99752.37747863666,-99774.0096913731,88.5485185417498,-99783.44843348672,287.4267288764338,78.09776657021501,96.51056485720116,77.48365190721903,-99766.29062006374,-99774.61635192027,-99778.83526831833,-99776.36051773412,7000,-99735.56710212627,-99765.79907330869,-99741.77094794791,-99753.9294414635,-99562.56501220338
112.64326466214072,-99751.21222787497,104.23321142805366,88.5485185417498,78.09776657021501,-99751.74632393796,86.79025608328794,-99766.29062006374,77.48365190721903,97.7457668600434,67.63864083731458,-99613.86214490568,-99562.56501220338,-99735.56710212627,-99755.27719021749,96.51056485720116,-99771.13029896333,287.4267288764338,85.05848700738942,97.59494011430004,78.91678771308554,-99753.9294414635,-99755.44478300083,-99765.79907330869,-99762.66495120384,8000,-99721.53221087689,-99752.37747863666,-99729.82572947755,-99741.77094794791,75.11175041097556
112.64326466214072,-99729.82572947755,104.23321142805366,88.5485185417498,78.09776657021501,-99735.56710212627,86.79025608328794,-99755.27719021749,77.48365190721903,97.7457668600434,67.63864083731458,-99613.86214490568,-99562.56501220338,-99719.83245037733,-99751.74632393796,96.51056485720116,-99755.44478300083,287.4267288764338,85.05848700738942,97.59494011430004,78.91678771308554,-99751.21222787497,-99752.37747863666,-99753.9294414635,-99753.64476403188,9000,-99688.67788860173,-99741.77094794791,-99703.51030425788,-99721.53221087689,75.11175041097556
141.52553345157048,-99703.51030425788,112.64326466214072,96.51056485720116,85.05848700738942,-99719.57186946082,93.06010959831723,-99751.21222787497,78.91678771308554,104.23321142805366,77.48365190721903,67.63864083731458,75.11175041097556,-99613.86214490568,-99729.82572947755,97.59494011430004,-99751.74632393796,287.4267288764338,88.5485185417498,97.7457668600434,86.79025608328794,-99721.53221087689,-99732.44321614184,-99741.77094794791,-99735.56710212627,10000,-99562.56501220338,-99719.83245037733,-99610.79727859286,-99688.67788860173,78.09776657021501
