reward 7,reward 15,reward 11,reward 9,reward 19,reward 29,reward 23,reward 10,reward 3,reward 6,reward 18,reward 14,reward 24,reward 25,reward 13,reward 8,reward 0,reward 26,reward 12,reward 27,reward 21,reward 5,StepNum,reward 17,reward 16,reward 20,reward 4,reward 1,reward 22,reward 28,reward 2
-99615.62408043451,0,0,-99665.03677181933,0,0,0,0,-99553.03380240216,-99604.02758074696,0,0,0,0,0,-99617.91908701163,221.12375802861678,0,0,0,0,-99582.95885496127,1000,0,0,0,-99578.97868246216,213.75396822183984,0,0,-99549.8777703239
-99549.8777703239,-99615.57547652118,-99582.95885496127,-99553.03380240216,-99618.15100768112,0,0,-99578.97868246216,221.43617346148866,145.46172213142123,-99617.91908701163,-99610.05662293022,0,0,-99605.78536269767,-99552.17996438751,242.6494469609142,0,-99604.02758074696,0,-99634.78393102928,213.75396822183984,2000,-99615.68161444389,-99615.62408043451,-99621.85926078675,221.12375802861678,240.745485556911,-99665.03677181933,0,240.46561571722754
221.12375802861678,-99553.03380240216,145.46172213142123,213.75396822183984,-99603.07740927207,-99621.85926078675,-99615.57547652118,206.54634254799777,240.46561571722754,221.43617346148866,-99587.09899375313,-99552.17996438751,-99615.62408043451,-99615.68161444389,-99549.8777703239,214.9656989025493,267.4470678590329,-99617.91908701163,-99368.9570697071,-99618.15100768112,-99605.78536269767,225.7640447032835,3000,-99582.95885496127,-99578.97868246216,-99604.02758074696,235.18536151783186,242.6494469609142,-99610.05662293022,-99620.01093102056,240.745485556911
225.7640447032835,-99368.9570697071,213.75396822183984,221.12375802861678,-99578.97868246216,-99615.62408043451,-99603.07740927207,214.9656989025493,240.745485556911,235.18536151783186,-99553.03380240216,145.46172213142123,-99604.02758074696,-99605.78536269767,206.29266309999267,221.43617346148866,267.4470678590329,-99610.05662293022,206.54634254799777,-99611.47454072669,-99587.09899375313,239.97371398206678,4000,-99552.17996438751,-99549.8777703239,-99582.95885496127,240.46561571722754,242.6494469609142,-99596.82074383627,-99615.57547652118,241.28621532484044
234.7420106150082,145.46172213142123,214.9656989025493,221.43617346148866,-99553.03380240216,-99603.07740927207,-99582.95885496127,221.12375802861678,240.745485556911,235.18536151783186,-99552.17996438751,206.29266309999267,-99587.09899375313,-99592.42774561522,206.54634254799777,225.7640447032835,267.4470678590329,-99596.55598670096,213.75396822183984,-99596.82074383627,-99579.93421542854,239.97371398206678,5000,-99549.8777703239,-99368.9570697071,-99578.97868246216,240.46561571722754,242.6494469609142,-99580.66630982119,-99599.60035457624,241.28621532484044
235.18536151783186,206.29266309999267,221.12375802861678,225.7640447032835,-99549.8777703239,-99592.42774561522,-99579.93421542854,221.43617346148866,241.28621532484044,239.97371398206678,-99448.15225493291,206.54634254799777,-99580.66630982119,-99582.95885496127,213.75396822183984,234.7420106150082,312.7024662745111,-99587.09899375313,214.9656989025493,-99589.85592019034,-99553.03380240216,240.46561571722754,6000,-99368.9570697071,145.46172213142123,-99552.17996438751,240.745485556911,267.4470678590329,-99578.97868246216,-99591.08349179513,242.6494469609142
235.18536151783186,214.9656989025493,222.92181907199574,225.7640447032835,206.29266309999267,-99579.93421542854,-99548.71059232936,224.6563548083096,241.28621532484044,239.97371398206678,206.54634254799777,217.51530061211534,-99549.8777703239,-99552.17996438751,221.12375802861678,234.7420106150082,312.7024662745111,-99553.03380240216,221.43617346148866,-99555.30263723085,-99368.9570697071,240.46561571722754,7000,207.19559777316786,213.75396822183984,145.46172213142123,240.745485556911,267.4470678590329,-99448.15225493291,-99578.97868246216,242.6494469609142
239.97371398206678,222.92181907199574,232.21386146885408,235.18536151783186,214.9656989025493,-99549.8777703239,206.29266309999267,234.7420106150082,242.6494469609142,240.46561571722754,217.51530061211534,224.6563548083096,206.0597102705217,145.46172213142123,225.7640447032835,235.41702571541288,312.7024662745111,-99368.9570697071,227.55898076187867,-99448.15225493291,207.19559777316786,240.745485556911,8000,221.12375802861678,221.43617346148866,213.75396822183984,241.28621532484044,267.4470678590329,206.54634254799777,-99548.71059232936,243.50836280624426
239.97371398206678,224.6563548083096,232.21386146885408,235.18536151783186,220.1068341130047,-99368.9570697071,213.75396822183984,234.7420106150082,242.6494469609142,240.46561571722754,221.12375802861678,224.99341152691287,207.19559777316786,206.54634254799777,225.7640447032835,235.41702571541288,312.7024662745111,206.29266309999267,227.55898076187867,206.0597102705217,217.51530061211534,240.745485556911,9000,221.43617346148866,222.92181907199574,220.10467275813056,241.28621532484044,267.4470678590329,214.9656989025493,145.46172213142123,243.50836280624426
239.97371398206678,224.6563548083096,232.21386146885408,235.18536151783186,220.1068341130047,206.29266309999267,215.07545046916627,234.7420106150082,242.6494469609142,240.46561571722754,221.12375802861678,224.99341152691287,214.9656989025493,213.75396822183984,225.7640447032835,235.41702571541288,312.7024662745111,209.84309313740488,227.55898076187867,207.19559777316786,217.73980501016214,240.745485556911,10000,221.43617346148866,222.92181907199574,220.10467275813056,241.28621532484044,267.4470678590329,217.51530061211534,206.54634254799777,243.50836280624426
240.745485556911,227.55898076187867,235.18536151783186,239.97371398206678,222.92181907199574,213.75396822183984,220.10467275813056,235.41702571541288,267.4470678590329,241.28621532484044,224.6563548083096,232.21386146885408,219.04495683209143,217.73980501016214,233.09141213088654,240.46561571722754,312.7024662745111,217.51530061211534,234.7420106150082,215.07545046916627,221.12375802861678,242.6494469609142,11000,224.99341152691287,225.7640447032835,221.43617346148866,243.50836280624426,286.7734381886662,220.1068341130047,214.9656989025493,270.61438685725295
240.745485556911,227.55898076187867,235.18536151783186,239.97371398206678,222.92181907199574,214.07917955066932,220.10467275813056,235.41702571541288,267.4470678590329,241.28621532484044,224.6563548083096,232.21386146885408,219.04495683209143,217.73980501016214,233.09141213088654,240.46561571722754,312.7024662745111,217.51530061211534,234.7420106150082,215.07545046916627,221.12375802861678,242.6494469609142,12000,224.99341152691287,225.7640447032835,221.43617346148866,243.50836280624426,286.7734381886662,220.1068341130047,214.9656989025493,270.61438685725295
241.28621532484044,232.21386146885408,235.41702571541288,240.46561571722754,224.6563548083096,215.07545046916627,221.12375802861678,239.97371398206678,267.4470678590329,242.6494469609142,224.99341152691287,233.09141213088654,220.1068341130047,220.10467275813056,234.7420106150082,240.745485556911,312.7024662745111,219.04495683209143,235.18536151783186,217.73980501016214,221.91708624652526,243.4662689232808,13000,225.7640447032835,227.55898076187867,222.92181907199574,243.50836280624426,286.7734381886662,221.43617346148866,217.51530061211534,270.61438685725295
244.81667428278044,235.41702571541288,241.28621532484044,243.4662689232808,232.21386146885408,220.10467275813056,224.6563548083096,242.6494469609142,270.61438685725295,267.4470678590329,233.09141213088654,239.97371398206678,222.92181907199574,221.91708624652526,240.46561571722754,243.50836280624426,312.7024662745111,221.43617346148866,240.745485556911,221.12375802861678,225.7640447032835,267.9216187364138,14000,234.7420106150082,235.18536151783186,227.55898076187867,268.35254981138735,286.7734381886662,224.99341152691287,220.1068341130047,284.09223893105263
244.81667428278044,235.41702571541288,241.28621532484044,243.4662689232808,232.2708523671207,220.1068341130047,224.99341152691287,242.6494469609142,270.61438685725295,267.4470678590329,233.09141213088654,239.97371398206678,224.6563548083096,222.92181907199574,240.46561571722754,243.50836280624426,312.7024662745111,221.91708624652526,240.745485556911,221.43617346148866,227.55898076187867,267.9216187364138,15000,234.7420106150082,235.18536151783186,232.21386146885408,268.35254981138735,286.7734381886662,225.7640447032835,221.12375802861678,284.09223893105263
244.81667428278044,235.41702571541288,241.28621532484044,243.4662689232808,232.2708523671207,220.1068341130047,224.99341152691287,242.6494469609142,270.61438685725295,267.4470678590329,233.09141213088654,239.97371398206678,224.6563548083096,222.92181907199574,240.46561571722754,243.50836280624426,312.7024662745111,221.91708624652526,240.745485556911,221.43617346148866,227.55898076187867,267.9216187364138,16000,234.7420106150082,235.18536151783186,232.21386146885408,268.35254981138735,286.7734381886662,225.7640447032835,221.12375802861678,284.09223893105263
244.81667428278044,235.41702571541288,241.28621532484044,243.4662689232808,232.2708523671207,221.12375802861678,225.28010683810965,242.6494469609142,270.61438685725295,267.4470678590329,233.09141213088654,239.97371398206678,224.99341152691287,224.6563548083096,240.46561571722754,243.50836280624426,312.7024662745111,222.92181907199574,240.745485556911,221.91708624652526,227.55898076187867,267.9216187364138,17000,234.7420106150082,235.18536151783186,232.21386146885408,268.35254981138735,286.7734381886662,225.7640447032835,221.43617346148866,284.09223893105263
244.81667428278044,235.41702571541288,241.28621532484044,243.4662689232808,232.2708523671207,221.91708624652526,225.7640447032835,242.6494469609142,270.61438685725295,267.4470678590329,233.09141213088654,239.97371398206678,225.28010683810965,225.11488057457996,240.46561571722754,243.50836280624426,312.7024662745111,224.99341152691287,240.745485556911,224.6563548083096,228.0959897455321,267.9216187364138,18000,234.7420106150082,235.18536151783186,232.21386146885408,268.35254981138735,286.7734381886662,227.55898076187867,222.92181907199574,284.09223893105263
